state,transit_days,note
AL,none,
AR,7,
AZ,2,pocket of 3 days in north central
CA,2,
CO,1,
CT,7,
DC,7,not drawn separately on this map
DE,7,
FL,7,
GA,7,
IA,none,
ID,3,
IL,5,
IN,5,
KS,none,
KY,5,
LA,none,
MA,7,
MD,7,
ME,none,
MI,5,
MN,6,
MO,5,
MS,7,
MT,none,
NC,7,pocket of 6 days in northern
ND,none,
NE,none,
NH,7,
NJ,7,
NM,none,
NV,2,
NY,7,
OH,5,
OK,none,
OR,3,pocket of 4 days in central
PA,7,
RI,7,
SC,7,
SD,none,
TN,7,
TX,4,
UT,1,pocket of 2 days in the south
VA,7,
VT,none,
WA,3,
WI,5,
WV,5,
WY,none,
